trade_id,underlying,option_type,strike,expiry,notional,position_sign,premium,trade_date
OPT-001,AAPL,call,180.00,2025-06-20,100,1,8.50,2025-01-15
OPT-002,AAPL,put,160.00,2025-06-20,100,-1,5.20,2025-01-15
OPT-003,MSFT,call,400.00,2025-09-19,100,1,18.00,2025-01-15
OPT-004,MSFT,put,360.00,2025-09-19,100,1,12.50,2025-01-15
OPT-005,GOOGL,call,175.00,2025-06-20,100,1,9.00,2025-01-15
OPT-006,GOOGL,put,155.00,2025-12-19,100,1,7.80,2025-01-15
OPT-007,NVDA,call,130.00,2025-06-20,100,1,14.00,2025-01-15
OPT-008,NVDA,put,110.00,2025-06-20,100,-1,8.00,2025-01-15
OPT-009,JPM,call,210.00,2025-09-19,100,1,10.50,2025-01-15
OPT-010,JPM,put,190.00,2025-09-19,100,1,8.75,2025-01-15
OPT-011,^GSPC,call,5200.00,2025-06-20,100,1,55.00,2025-01-15
OPT-012,^GSPC,put,4800.00,2025-06-20,100,1,45.00,2025-01-15
